sub_H,sub_B,pka_H,dipole_H,homo_H,lumo_H,electronegativity_H,Mulliken_charge_C_H,APT_charge_C_H,NPA_charge_C_H,Mulliken_charge_H_H,APT_charge_H_H,NPA_charge_H_H,NICS0,NICS1,pka_B,delta_G_B,delta_G_B_TS,dipole_B,homo_B,lumo_B,electronegativity_B,yield
A02,1c,35.7,2.8417,-0.24992,0.00903,0.120445,0.085796,0.140415,0.01137,0.033376,0.073939,0.2218,12.1199,9.811,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,56
A08,1d,25.1,1.2906,-0.29842,-0.00164,0.15003,0.212938,0.488911,0.43105,0.063562,0.097075,0.063562,9.3857,8.7917,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,3
A09,1c,37.2,2.571,-0.27399,0.01399,0.13,0.008631,-0.018231,-0.22526,0.026258,0.066299,0.24583,9.6469,9.7147,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,39
A10,1c,33,1.3368,-0.28121,0.02498,0.128115,-0.166815,-0.272209,-0.39805,0.049506,-0.031899,0.18618,10.4196,9.7644,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,4
A12,1b,36.7,1.5137,-0.30418,0.01553,0.144325,-0.078094,-0.129575,-0.30117,0.031469,0.073363,0.24406,9.8207,10.2984,35.8,9.7,16,1.0548,-0.28379,0.03702,0.123385,54
A18,1c,39,1.2909,-0.26504,0.02936,0.11784,0.004272,0.055758,-0.64042,0.054827,-0.016869,0.22778,9.0164,9.7614,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,41
A22,1d,29,1.1759,-0.27722,-0.02421,0.150715,-0.117535,-0.141868,-0.44197,0.069507,0.11078,0.25766,10.0615,8.9535,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,2
S03,1a,37.2,2.4913,-0.25022,0.02092,0.11465,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,-12.5414,-10.0481,35,14.2,18.9,1.4392,-0.28457,0.0299,0.127335,35
S03,1b,37.2,2.4913,-0.25022,0.02092,0.11465,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,-12.5414,-10.0481,35.8,9.7,16,1.0548,-0.28379,0.03702,0.123385,83
S03,1c,37.2,2.4913,-0.25022,0.02092,0.11465,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,-12.5414,-10.0481,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127035,86
S03,1d,37.2,2.4913,-0.25022,0.02092,0.11465,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,-12.5414,-10.0481,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,32
S07,1c,36.9,2.5009,-0.24991,0.02035,0.11478,0.083058,0.163799,0.00699,0.030482,0.075223,0.22167,-12.6172,-10.1065,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,65
S07,1d,36.9,2.5009,-0.24991,0.02035,0.11478,0.083058,0.163799,0.00699,0.030482,0.075223,0.22167,-12.6172,-10.1065,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,2
S08,1c,36.3,1.733,-0.25263,0.00728,0.122675,0.095978,0.198568,0.0079,0.041248,0.09084,0.22916,-11.4655,-9.2687,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,83
S08,1d,36.3,1.733,-0.25263,0.00728,0.122675,0.095978,0.198568,0.0079,0.041248,0.09084,0.22916,-11.4655,-9.2687,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,4
S09,1c,38.3,2.3372,-0.24356,0.02244,0.11056,0.034108,0.16637,0.01269,0.019854,0.067953,0.2202,-12.0515,-9.7146,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,96
S09,1d,38.3,2.3372,-0.24356,0.02244,0.11056,0.034108,0.16637,0.01269,0.019854,0.067953,0.2202,-12.0515,-9.7146,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,40
S10,1c,37.7,2.138,-0.24549,0.02196,0.111765,0.088925,0.167932,0.01045,0.030306,0.073636,0.2205,-12.3276,-9.8741,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,84
S10,1d,37.7,2.138,-0.24549,0.02196,0.111765,0.088925,0.167932,0.01045,0.030306,0.073636,0.2205,-12.3276,-9.8741,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,25
S11,1c,37.2,2.2136,-0.24779,0.02305,0.11237,0.083749,0.15532,0.00882,0.030907,0.073955,0.22039,-12.4346,-9.9424,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,86
S11,1d,37.2,2.2136,-0.24779,0.02305,0.11237,0.083749,0.15532,0.00882,0.030907,0.073955,0.22039,-12.4346,-9.9424,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,44
S12,1c,37.7,2.339,-0.24602,0.02506,0.11048,0.082873,0.135177,0.0053,0.030647,0.074267,0.22036,-12.3916,-9.8727,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,64
